function|n|m|n*m|userTime
shiftand|1700|100|170000|0.000024
shiftand|1224|72|88128|0.000017
shiftand|1054|62|65348|0.000014
shiftand|935|55|51425|0.000014
shiftand|1071|63|67473|0.000015
shiftand|1071|63|67473|0.000015
shiftand|918|54|49572|0.000013
shiftand|1513|89|134657|0.000021
shiftand|1292|76|98192|0.000018
shiftand|1071|63|67473|0.000015
shiftand|1292|76|98192|0.000018
shiftand|1394|82|114308|0.000020
shiftand|1122|66|74052|0.000016
shiftand|918|54|49572|0.000014
shiftand|1309|77|100793|0.000019
shiftand|1394|82|114308|0.000020
shiftand|1377|81|111537|0.000020
shiftand|1343|79|106097|0.000019
shiftand|1122|66|74052|0.000015
shiftand|1428|84|119952|0.000020
shiftand|1394|82|114308|0.000020
shiftand|935|55|51425|0.000014
shiftand|1632|96|156672|0.000023
shiftand|1292|76|98192|0.000018
shiftand|1479|87|128673|0.000021
shiftand|884|52|45968|0.000013
main|0|0|0|0.032812
